"HK2","HK2"
"Search Sanitizer","सर्च सैनिटाइज़र"
"General","सामान्य"
"Enable Search Sanitization","सर्च सैनिटाइजेशन सक्षम करें"
"Enable or disable storefront search query sanitization.","स्टोरफ्रंट सर्च क्वेरी सैनिटाइजेशन को सक्षम या अक्षम करें।"
